,Degree
1028,20
1029,18
1030,24
1031,5
1032,33
1033,3
1034,32
1035,619
1036,18
1037,20
1038,8
1039,9
1040,5
1041,27
1042,20
1043,15
1044,13
1045,142
1046,19
1047,32
1048,6
1049,23
1050,30
1051,6
1052,15
1053,22
1054,12
1055,23
1056,13
1057,6
1058,138
1059,4
1060,5
1061,21
1062,15
1063,15
1064,4
1065,7
1066,14
1067,21
1068,4
1069,11
1070,22
1071,8
1072,77
1073,15
1074,10
1075,20
1076,8
1077,9
1078,11
1079,17
1080,5
1081,186
1082,5
1083,23
1084,15
1085,18
1086,7
1087,22
1088,13
1089,12
1090,31
1091,9
1092,18
1093,31
1094,20
1095,7
1096,930
1097,6
1098,40
1099,16
1100,7
1101,32
1102,29
1103,8
1104,734
1105,8
1106,6
1107,46
1108,8
1109,344
1110,21
1111,20
1112,9
1113,13
1114,7
1115,30
1116,4
1117,9
1118,8
1119,7
1120,12
1121,7
1122,8
1123,6
1124,161
1125,83
1126,126
1127,6
1128,13
1129,84
1130,20
1131,17
1132,24
1133,18
1134,7
1135,8
1136,67
1137,12
1138,11
1139,18
1140,19
1141,9
1142,17
1143,110
1144,5
1145,15
1146,12
1147,7
1148,17
1149,10
1150,8
1151,5
1152,7746
1153,18
1154,7
1155,12
1156,14
1157,21
1158,4
1159,4
1160,7
1161,80
1162,39
1163,10
1164,5
1165,15
1166,61
1167,6
1168,4
1169,20
1170,109
1171,10
1172,8
1173,16
1174,16
1175,14
1176,7
1177,19
1178,8
1179,20
1180,10
1181,21
1182,6
1183,19
1184,11
1185,15
1186,5
1187,4
1188,10
1189,18
1190,11
1191,18
1192,26
1193,50
1194,10
1195,5
1196,14
1197,4
1198,11
1199,5
1200,23
1201,14
1202,52
1203,130
1204,21
1205,5
1206,34
1207,6
1208,8
1209,10
1210,13
1211,20
1212,10
1213,13
1214,16
1215,14
1216,14
1217,12
1218,32
1219,11
1220,29
1221,6
1222,6
1223,15
1224,19
1225,10
1226,3
1227,10
1228,13
1229,16
1230,285
1231,35
1232,6
1233,21
1234,8
1235,23
1236,8
1237,14
1238,29
1239,4
1240,20
1241,19
1242,12
1243,11
1244,6
1245,6
1246,5
1247,13
1248,35
1249,17
1250,20
1251,3
1252,9
1253,13
1254,7
1255,22
1256,6
1257,9
1258,4
1259,3
1260,20
1261,9
1262,22
1263,9
1264,53
1265,7
1266,4
1267,8
1268,22
1269,5
1270,15
1271,14
1272,7
1273,8
1274,74
1275,30
1276,13
1277,8
1278,14
1279,9
1280,19
1281,52
1282,107
1283,22
1284,15
1285,15
1286,5
1287,11
1288,3
1289,8
1290,7
1291,33
1292,12
1293,2
1294,5
1295,4
1296,10
1297,76
1298,9
1299,20
1300,3
1301,8
1302,14
1303,5
1304,15
1305,9
1306,7
1307,17
1308,34
1309,38
1310,8
1311,16
1312,10
1313,5
1314,15
1315,29
1316,31
1317,33
1318,14
1319,4135
1320,12
1321,10
1322,27
1323,7
1324,6
1325,199
1326,19
1327,529
1328,4
1329,108
1330,15
1331,40
1332,20
1333,4
1334,4
1335,17
1336,8
1337,7
1338,11
1339,13
1340,96
1341,14
1342,11
1343,5
1344,9
1345,12
1346,6
1347,6
1348,6
1349,22
1350,19
1351,86
1352,39
1353,5
1354,3
1355,8
1356,16
1357,2
1358,45
1359,13
1360,11
1361,7
1362,17
1363,32
1364,85
1365,17
1366,4
1367,9
1368,6
1369,8
1370,8
1371,4
1372,3
1373,9
1374,15
1375,15
1376,45
1377,36
1378,16
1379,35
1380,38
1381,121
1382,38
1383,14
1384,6
1385,17
1386,4
1387,85
1388,27
1389,183
1390,19
1391,6
1392,12
1393,16
1394,5
1395,5
1396,22
1397,9
1398,15
1399,10
1400,6
1401,11
1402,10
1403,23
1404,35
1405,7
1406,22
1407,7
1408,7
1409,88
1410,4
1411,27
1412,4
1413,13
1414,14
1415,14
1416,70
1417,49
1418,8
1419,79
1420,8
1421,18
1422,6
1423,21
1424,12
1425,138
1426,36
1427,18
1428,14
1429,4
1430,9
1431,17
1432,13
1433,33
1434,107
1435,13
1436,25
1437,71
1438,31
1439,21
1440,43
1441,30
1442,4
1443,23
1444,25
1445,20
1446,4
1447,13
1448,10
1449,24
1450,5
1451,5
1452,563
1453,24
1454,8
1455,33
1456,8
1457,9
1458,5
1459,63
1460,6
1461,14
1462,10
1463,31
1464,59
1465,12
1466,7
1467,48
1468,10
1469,94
1470,11
1471,9
1472,16
1473,9
1474,21
1475,12
1476,21
1477,14
1478,17
1479,8
1480,16
1481,6
1482,7
1483,71
1484,12
1485,4
1486,10
1487,7
1488,7
1489,36
1490,9
1491,15
1492,16
1493,6
1494,10
1495,19
1496,10
1497,6
1498,10
1499,19
1500,6
1501,13
1502,19
1503,12
1504,2
1505,9
1506,23
1507,73
1508,9
1509,27
1510,3
1511,15
1512,23
1513,8
1514,12
1515,143
1516,93
1517,12
1518,196
1519,28
1520,13
1521,5
1522,6
1523,6
1524,7
1525,9
1526,15
1527,12
1528,5
1529,7
1530,8
1531,11
1532,11
1533,45
1534,16
1535,8
1536,5
1537,73
1538,34
1539,4
1540,17
1541,6
1542,9
1543,48
1544,22
1545,20
1546,10
1547,10
1548,6
1549,7
1550,17
1551,25
1552,20
1553,11
1554,10
1555,7
1556,5
1557,63
1558,6
1559,9
1560,4
1561,6
1562,12
1563,14
1564,112
1565,33
1566,32
1567,51
1568,19
1569,5
1570,17
1571,11
1572,17
1573,10
1574,12
1575,10
1576,48
1577,34
1578,333
1579,11
1580,4
1581,18
1582,22
1583,13
1584,19
1585,88
1586,19
1587,14
1588,17
1589,9
1590,7
1591,9
1592,22
1593,3
1594,4
1595,7
1596,7
1597,4
1598,17
1599,16
1600,14
1601,47
1602,8
1603,17
1604,21
1605,7
1606,260
1607,46
1608,15
1609,22
1610,17
1611,6
1612,30
1613,7
1614,10
1615,25
1616,22
1617,15
1618,38
1619,17
1620,20
1621,6
1622,124
1623,11
1624,8
1625,17
1626,4
1627,48
1628,21
1629,11
1630,4
1631,203
1632,14
1633,27
1634,56
1635,9
1636,282
1637,4
1638,8
1639,7
1640,4
1641,6
1642,5
1643,8
1644,10
1645,11
1646,6
1647,18
1648,4
1649,110
1650,7
1651,18
1652,8
1653,12
1654,7
1655,4
1656,6
1657,6
1658,33
1659,48
1660,16
1661,40
1662,60
1663,3
1664,5
1665,17
1666,233
1667,9
1668,12
1669,5
1670,14
1671,3
1672,4
1673,24
1674,6
1675,32
1676,6
1677,7
1678,45
1679,5
1680,6
1681,7
1682,5
1683,31
1684,5
1685,9
1686,12
1687,50
1688,24
1689,4
1690,40
1691,6
1692,5
1693,18
1694,17
1695,7
1696,9
1697,60
1698,9
1699,13
1700,23
1701,6
1702,5
1703,10
1704,192
1705,29
1706,10
1707,4
1708,12
1709,26
1710,10
1711,14
1712,29
1713,57
1714,7
1715,7
1716,5
1717,15
1718,18
1719,8
1720,10
1721,18
1722,14
1723,7
1724,3
1725,15
1726,6
1727,23
1728,11
1729,4
1730,470
1731,12
1732,12
1733,3
1734,10
1735,14
1736,17
1737,27
1738,12
1739,11
1740,10
1741,12
1742,17
1743,14
1744,7
1745,5
1746,5
1747,12
1748,32
1749,10
1750,21
1751,27
1752,16
1753,11
1754,6
1755,45
1756,24
1757,8
1758,6
1759,8
1760,13
1761,36
1762,42
1763,6
1764,13
1765,3
1766,9
1767,13
1768,5
1769,16
1770,11
1771,8
1772,22
1773,29
1774,9
1775,17
1776,21
1777,7
1778,246
1779,11
1780,459
1781,8
1782,12
1783,7
1784,10
1785,8
1786,7
1787,4
1788,17
1789,6
1790,18
1791,3
1792,12
1793,12
1794,7
1795,6
1796,1204
1797,38
1798,18
1799,10
1800,12
1801,8
1802,11
1803,5
1804,11
1805,4
1806,8
1807,8
1808,9
1809,5
1810,6
1811,184
1812,10
1813,7
1814,7
1815,6
1816,20
1817,4
1818,7
1819,10
1820,10
1821,11
1822,31
1823,3
1824,42
1825,5
1826,34
1827,12
1828,3
1829,253
1830,7
1831,85
1832,20
1833,9
1834,10
1835,6
1836,6
1837,9
1838,7
1839,8
1840,7
1841,6
1842,19
1843,29
1844,10
1845,18
1846,33
1847,17
1848,27
1849,5
1850,7
1851,18
1852,10
1853,28
1854,5
1855,17
1856,70
1857,11
1858,5
1859,4
1860,10
1861,33
1862,7
1863,5
1864,65
1865,6
1866,11
1867,12
1868,7
1869,4
1870,7
1871,21
1872,7
1873,20
1874,12
1875,11
1876,6
1877,8
1878,11
1879,17
1880,11
1881,31
1882,21
1883,13
1884,15
1885,11
1886,70
1887,4
1888,17
1889,3
1890,4
1891,14
1892,8
1893,3
1894,6
1895,9
1896,6
1897,18
1898,13
1899,11
1900,24
1901,7
1902,6
1903,19
1904,20
1905,12
1906,9
1907,9
1908,8
1909,5
1910,13
1911,47
1912,17
1913,5
1914,40
1915,8
1916,25
1917,5
1918,130
1919,9
1920,12
1921,7
1922,60
1923,6
1924,23
1925,7
1926,24
1927,10
1928,8
1929,8
1930,8
1931,16
1932,8
1933,7
1934,6
1935,12
1936,174
1937,26
1938,6
1939,5
1940,12
1941,10
1942,42
1943,11
1944,3
1945,86
1946,37
1947,7
1948,54
1949,8
1950,12
1951,40
1952,18
1953,5
1954,5
1955,4
1956,40
1957,8
1958,7
1959,18
1960,27
1961,7
1962,6
1963,23
1964,19
1965,16
1966,8
1967,30
1968,7
1969,11
1970,12
1971,40
1972,9
1973,16
1974,11
1975,8
1976,49
1977,64
1978,52
1979,18
1980,5
1981,22
1982,7
1983,37
1984,46
1985,7
1986,11
1987,3
1988,3
1989,11
1990,32
1991,12
1992,5
1993,9
1994,550
1995,12
1996,136
1997,36
1998,10
1999,61
2000,7
2001,797
2002,28
2003,35
2004,25
2005,29
2006,5
2007,33
2008,15
2009,19
2010,9
2011,6
2012,7
2013,37
2014,36
2015,6
2016,16
2017,23
2018,5
2019,10
2020,6
2021,5
2022,15
2023,7
2024,65
2025,21
2026,21
2027,25
2028,4
2029,7
2030,11
2031,23
2032,8
2033,12
2034,2
2035,8
2036,10
2037,204
2038,13
2039,9
2040,16
2041,3
2042,35
2043,9
2044,10
2045,22
2046,11
2047,7
2048,6
2049,4
2050,105
2051,2
2052,7
2053,11
2054,80
2055,5
2056,17
2057,8
2058,11
2059,29
2060,9
2061,26
2062,18
2063,11
2064,11
2065,19
2066,19
2067,4
2068,7
2069,32
2070,29
2071,22
2072,59
2073,7
2074,6
2075,14
2076,12
2077,16
2078,20
2079,52
2080,10
2081,3
2082,13
2083,3
2084,3
2085,53
2086,17
2087,8
2088,7
2089,13
2090,173
2091,9
2092,8
2093,12
2094,4
2095,9
2096,14
2097,17
2098,89
2099,9
2100,66
2101,13
2102,21
2103,9
2104,4
2105,8
2106,9
2107,5
2108,116
2109,6
2110,12
2111,10
2112,21
2113,20
2114,40
2115,4
2116,13
2117,27
2118,41
2119,8
2120,41
2121,31
2122,14
2123,3
2124,23
2125,5
2126,80
2127,6
2128,100
2129,26
2130,15
2131,11
2132,7
2133,11
2134,6
2135,12
2136,9
2137,31
2138,28
2139,16
2140,63
2141,10
2142,28
2143,10
2144,6
2145,29
2146,11
2147,12
2148,7
2149,8
2150,9
2151,19
2152,26
2153,5
2154,102
2155,22
2156,7
2157,7
2158,4
2159,14
2160,7
2161,7
2162,6
2163,50
2164,10
2165,8
2166,7
2167,17
2168,14
2169,13
2170,8
2171,5
2172,19
2173,8
2174,24
2175,7
2176,23
2177,57
2178,7
2179,11
2180,12
2181,12
2182,24
2183,6
2184,17
2185,31
2186,13
2187,10
2188,11
2189,8
2190,147
2191,14
2192,19
2193,18
2194,15
2195,33
2196,25
2197,5
2198,4
2199,27
2200,8
2201,102
2202,11
2203,13
2204,11
2205,10
2206,3
2207,7
2208,9
2209,15
2210,63
2211,17
2212,6
2213,4
2214,34
2215,8
2216,8
2217,10
2218,5
2219,27
2220,48
2221,19
2222,45
2223,3
2224,11
2225,8
2226,5
2227,863
2228,8
2229,34
2230,15
2231,61
2232,19
2233,449
2234,19
2235,13
2236,13
2237,4
2238,18
2239,9
2240,9
2241,27
2242,7
2243,23
2244,19
2245,19
2246,8
2247,419
2248,21
2249,9
2250,11
2251,23
2252,7
2253,240
2254,3
2255,4
2256,31
2257,4
2258,69
2259,8
2260,9
2261,26
2262,15
2263,7
2264,20
2265,16
2266,10
2267,7
2268,8
2269,10
2270,5
2271,2
2272,6
2273,10
2274,7
2275,109
2276,18
2277,42
2278,117
2279,24
2280,4
2281,26
2282,7
2283,20
2284,9
2285,183
2286,15
2287,22
2288,9
2289,19
2290,3
2291,9
2292,19
2293,8
2294,9
2295,15
2296,20
2297,29
2298,14
2299,16
2300,8
2301,315
2302,7
2303,26
2304,8
2305,6
2306,8
2307,20
2308,15
2309,33
2310,68
2311,34
2312,146
2313,22
2314,14
2315,19
2316,12
2317,16
2318,7
2319,10
2320,20
2321,74
2322,7
2323,11
2324,7
2325,12
2326,15
2327,12
2328,26
2329,17
2330,5
2331,7
2332,16
2333,33
2334,24
2335,20
2336,7
2337,9
2338,10
2339,6
2340,3
2341,7
2342,5
2343,19
2344,81
2345,7
2346,120
2347,8
2348,10
2349,4
2350,8
2351,14
2352,11
2353,6
2354,3
2355,5
2356,69
2357,7
2358,52
2359,10
2360,16
2361,21
2362,4
2363,15
2364,72
2365,11
2366,42
2367,8
2368,28
2369,10
2370,43
2371,9
2372,7
2373,14
2374,16
2375,3
2376,13
2377,42
2378,8
2379,16
2380,4
2381,85
2382,178
2383,8
2384,13
2385,26
2386,11
2387,17
2388,11
2389,12
2390,8
2391,12
2392,23
2393,34
2394,43
2395,9
2396,9
2397,116
2398,46
2399,15
2400,10
2401,17
2402,5
2403,5
2404,643
2405,15
2406,10
2407,11
2408,4
2409,15
2410,51
2411,7
2412,9
2413,7
2414,14
2415,11
2416,12
2417,11
2418,16
2419,55
2420,104
2421,11
2422,11
2423,21
2424,20
2425,4
2426,56
2427,6
2428,12
2429,18
2430,38
2431,11
2432,24
2433,392
2434,5
2435,13
2436,7
2437,5
2438,23
2439,15
2440,12
2441,4
2442,30
2443,21
2444,18
2445,12
2446,8
2447,6
2448,34
2449,65
2450,18
2451,8
2452,5
2453,42
2454,27
2455,6
2456,15
2457,10
2458,10
2459,169
2460,7
2461,16
2462,12
2463,15
2464,3
2465,10
2466,5
2467,33
2468,14
2469,10
2470,36
2471,20
2472,13
2473,4
2474,17
2475,16
2476,80
2477,10
2478,27
2479,9
2480,24
2481,38
2482,20
2483,16
2484,18
2485,7
2486,8
2487,8
2488,17
2489,8
2490,9
2491,5
2492,13
2493,12
2494,48
2495,15
2496,17
2497,9
2498,22
2499,16
2500,34
2501,17
2502,4
2503,12
2504,4
2505,19
2506,10
2507,13
2508,7
2509,11
2510,36
2511,7
2512,8
2513,8
2514,23
2515,7
2516,15
2517,5
2518,9
2519,6
2520,10
2521,3
2522,9
2523,29
2524,4
2525,10
2526,9
2527,9
2528,11
2529,17
2530,7
2531,7
2532,48
2533,17
2534,4
2535,5
2536,47
2537,11
2538,6
2539,15
2540,26
2541,12
2542,8
2543,11
2544,8
2545,20
2546,26
2547,141
2548,9
2549,27
2550,7
2551,5
2552,7
2553,48
2554,8
2555,3
2556,43
2557,97
2558,8
2559,9
2560,9
2561,13
2562,8
2563,14
2564,29
2565,24
2566,10
2567,5
2568,954
2569,30
2570,31
2571,8
2572,10
2573,27
2574,5
2575,8
2576,24
2577,3
2578,19
2579,13
2580,33
2581,17
2582,20
2583,6
2584,6
2585,7
2586,5
2587,16
2588,16
2589,700
2590,20
2591,7
2592,83
2593,18
2594,20
2595,7
2596,4
2597,12
2598,4
2599,5
2600,7
2601,5
2602,13
2603,16
2604,7
2605,12
2606,11
2607,30
2608,6
2609,56
2610,6
2611,6
2612,8
2613,111
2614,9
2615,5
2616,59
2617,48
2618,60
2619,37
2620,44
2621,5
2622,11
2623,12
2624,19
2625,8
2626,14
2627,11
2628,21
2629,71
2630,21
2631,89
2632,13
2633,4
2634,7
2635,10
2636,7
2637,27
2638,6
2639,4
2640,6
2641,14
2642,12
2643,19
2644,16
2645,16
2646,9
2647,55
2648,22
2649,126
2650,48
2651,29
2652,11
2653,16
2654,14
2655,14
2656,5
2657,21
2658,32
2659,19
2660,11
2661,10
2662,4
2663,7
2664,5
2665,10
2666,36
2667,22
2668,6
2669,9
2670,10
2671,7
2672,9
2673,6
2674,3
2675,12
2676,65
2677,14
2678,4
2679,24
2680,7
2681,5
2682,11
2683,23
2684,7
2685,20
2686,13
2687,10
2688,22
2689,21
2690,18
2691,20
2692,48
2693,5
2694,7
2695,18
2696,5
2697,549
2698,24
2699,10
2700,20
2701,13
2702,12
2703,17
2704,79
2705,16
2706,9
2707,3
2708,6
2709,10
2710,10
2711,7
2712,22
2713,19
2714,11
2715,7
2716,10
2717,39
2718,10
2719,16
2720,14
2721,15
2722,7
2723,4
2724,14
2725,6
2726,13
2727,11
2728,5
2729,66
2730,22
2731,18
2732,27
2733,46
2734,25
2735,95
2736,61
2737,18
2738,9
2739,13
2740,51
2741,6
2742,14
2743,9
2744,8
2745,7
2746,62
2747,17
2748,14
2749,74
2750,6
2751,27
2752,18
2753,7
2754,9
2755,47
2756,10
2757,38
2758,12
2759,7
2760,17
2761,3
2762,8
2763,43
2764,3
2765,7
2766,14
2767,6
2768,6
2769,53
2770,22
2771,7
2772,7
2773,7
2774,5
2775,173
2776,4
2777,8
2778,8
2779,11
2780,10
2781,2
2782,16
2783,4
2784,18
2785,15
2786,5
2787,12
2788,76
2789,117
2790,7
2791,33
2792,25
2793,10
2794,12
2795,15
2796,6
2797,75
2798,46
2799,9
2800,11
2801,10
2802,79
2803,6
2804,31
2805,4
2806,8
2807,21
2808,6
2809,24
2810,24
2811,6
2812,6
2813,11
2814,25
2815,4
2816,15
2817,9
2818,5
2819,12
2820,15
2821,26
2822,15
2823,9
2824,13
2825,18
2826,6
2827,5
2828,6
2829,4
2830,10
2831,3
2832,13
2833,7
2834,9
2835,6
2836,8
2837,9
2838,7
2839,5
2840,114
2841,6
2842,10
2843,12
2844,32
2845,6
2846,15
2847,30
2848,18
2849,18
2850,7
2851,5
2852,4
2853,11
2854,57
2855,78
2856,54
2857,8
2858,6
2859,9
2860,11
2861,17
2862,7
2863,15
2864,46
2865,90
2866,7
2867,9
2868,12
2869,8
2870,34
2871,10
2872,65
2873,10
2874,22
2875,13
2876,4
2877,17
2878,20
2879,10
2880,6
2881,13
2882,30
2883,12
2884,12
2885,5
2886,2
2887,6
2888,35
2889,136
2890,6
2891,6
2892,15
2893,39
2894,25
2895,9
2896,18
2897,13
2898,19
2899,5
2900,9
2901,14
2902,7
2903,17
2904,3
2905,20
2906,7
2907,6
2908,61
2909,25
2910,11
2911,7
2912,27
2913,6
2914,4
2915,17
2916,6
2917,7
2918,6
2919,7
2920,12
2921,15
2922,13
2923,13
2924,14
2925,6
2926,54
2927,6
2928,26
2929,17
2930,29
2931,15
2932,31
2933,6
2934,9
2935,24
2936,7
2937,11
2938,20
2939,5
2940,26
2941,11
2942,63
2943,16
2944,22
2945,9
2946,19
2947,12
2948,107
2949,14
2950,24836
2951,37
2952,7
2953,9
2954,10
2955,15
2956,12
2957,11
2958,47
2959,6
2960,4
2961,5
2962,79
2963,9
2964,9
2965,6
2966,6
2967,73
2968,10
2969,4
2970,7
2971,102
2972,13
2973,9
2974,37
2975,5
2976,23
2977,37
2978,11
2979,5
2980,35
2981,28
2982,9
2983,14
2984,16
2985,8
2986,25
2987,32
2988,8
2989,3
2990,26
2991,8
2992,470
2993,17
2994,7
2995,120
